feature,n_rows,n_train,n_test,intercept,slope,all_pearson,all_spearman,test_pearson,test_spearman,test_r2,test_mae,test_rmse,draw_id
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19563279145831142,0.5864278393555206,0.8187430670836082,0.7881882441646082,0.7985346044029682,0.7776913621397122,0.6262418975246473,0.24478882877528121,0.40161649979180714,0
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19889058199487836,0.5919411870248408,0.8253328638119648,0.7890000787889992,0.8089075443953417,0.7775572916305494,0.6457745205421993,0.24178472201333703,0.39098143576662164,1
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20003412519982783,0.5927999060924605,0.8234458834318362,0.7839933695425922,0.7985289713274212,0.7684557287121585,0.6220528154045981,0.2478900645135523,0.4038608881042058,2
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19835853089339323,0.5912997026109592,0.8230998749956798,0.7873211722873199,0.8020889250665624,0.7753806070886033,0.6295334531739187,0.24613722713615527,0.3998441416701653,3
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19653933569371734,0.5872104628076639,0.8207213642339241,0.7869318365890313,0.7826013301828753,0.7696326419144746,0.5994944449102357,0.24806737112595617,0.4157387546683366,4
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1968092166728735,0.5903394068850433,0.8184770736078516,0.7875149056640054,0.7957311814332905,0.7708328231025555,0.6203728582512362,0.24824514780642196,0.40475746406241236,5
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19776067087724575,0.5904562239771417,0.8188218661837806,0.7883742559232945,0.7920095186967879,0.7751902519413675,0.6149885009447897,0.24418695967531245,0.4076177515360559,6
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20188376714609496,0.5954991414847551,0.82677812281931,0.7885299682269734,0.8010037331444921,0.7749693025378322,0.6290969519696084,0.24547203530992182,0.40007962996261565,7
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19964556789417492,0.5900664805608804,0.8228338235839416,0.789657130461401,0.7911772878003346,0.7726379288265882,0.6151155216654791,0.2455909829209033,0.4075505065683116,8
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19983617793572844,0.5922287083000006,0.8229683507239457,0.7885961719082597,0.7986013226305025,0.7713552034517599,0.6242343885524335,0.24751219638312932,0.4026936256111667,9
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20021601619224533,0.5911220856258519,0.8225596390375648,0.7889442811514692,0.7902943161794308,0.7740063750531844,0.6111777967344773,0.24762665209925452,0.40963001099241914,10
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1949194982094981,0.5865999689917676,0.8193679257137783,0.7866325024608742,0.7917240893433051,0.7749830218194614,0.6149350320243603,0.24560965302044016,0.407646054748468,11
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19903948833241453,0.5909818128449,0.8194148416785848,0.7878677456993455,0.7935601250004563,0.7733712594671951,0.6167988477330602,0.24746448069551055,0.40665830099814515,12
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19800698765595443,0.5911342806971055,0.8205305749276874,0.7884130728792849,0.7970295464780316,0.7762075203676922,0.6221862113161992,0.24636984170342785,0.40378961075647357,13
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.2010171456836402,0.5911788641436226,0.827436355865084,0.7898746626665677,0.8030934210616382,0.774339757148068,0.634274571800705,0.24418849980359397,0.39727736091312027,14
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19682586521904882,0.5905540856003516,0.8209151863826167,0.7877947111168593,0.7995735424515622,0.780289741411716,0.627510254683133,0.24477248187042425,0.40093447302979873,15
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19825172424696497,0.5905415337628448,0.824248119986876,0.7858198353394914,0.7914080811068056,0.7696404730329327,0.6155825946565261,0.2493756091867139,0.4073031419290082,16
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19898352639012923,0.5908571464302379,0.8232251959460397,0.7878905035770045,0.7953916055884187,0.7716835494888931,0.619805701885175,0.247965808772668,0.40505970153604337,17
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19440990515818596,0.586058782812959,0.8198455003582288,0.7873606870012916,0.7895354254454992,0.7739309936201711,0.6122704230751579,0.24636331510827403,0.40905405698464525,18
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20091307349101223,0.592554448279224,0.8251082746934089,0.7876501122997049,0.8055277862055277,0.7771196136950066,0.6400545736704265,0.24279150917977574,0.394125530632634,19
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1956506146375397,0.5868236077927794,0.8175646078125363,0.7873366387038717,0.7915067116552139,0.7743279947220315,0.6142357636378949,0.2461724528730527,0.40801602439941165,20
