country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho,p_value
Italy,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4502486519301094,2.2625135522369444e-19
Italy,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6887145962326573,6.213218598464114e-52
Italy,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8125483743797148,6.240734302665533e-86
Italy,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8744622515091421,1.6148005208423696e-114
Italy,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.9005318971082596,1.4927119499165812e-131
Italy,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103,7.989243875381861e-26
Italy,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388,5.691352212560618e-36
Italy,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812561,7.852401368021891e-47
Italy,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275,2.9269479839515174e-57
Italy,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177,2.2291605701335885e-11
Italy,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674877,9.793389367125748e-17
Italy,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4787518295585399,5.04485935248546e-22
Italy,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599,6.9513503300822725e-28
Italy,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393,1.4676354778102263e-40
Italy,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867,1.1826300401992509e-55
Italy,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576,9.92647348086319e-69
Italy,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983,8.491892127215164e-77
Spain,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.2921837534184689,1.620966995013226e-08
Spain,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.390613861870068,1.4329469347970636e-14
Spain,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4399020568574345,1.8084189501299773e-18
Spain,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4828987877992886,1.9767112903200152e-22
Spain,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7319150309747152,1.306846090773274e-61
Spain,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8386180963330477,1.7808312244662029e-96
Spain,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8865850302342868,6.437512845047955e-122
Spain,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.9041733861115184,2.64031681580046e-134
Spain,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103,7.989243875381861e-26
Spain,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388,5.691352212560618e-36
Spain,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812561,7.852401368021891e-47
Spain,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275,2.9269479839515174e-57
Spain,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177,2.2291605701335885e-11
Spain,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674877,9.793389367125748e-17
Spain,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4787518295585399,5.04485935248546e-22
Spain,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599,6.9513503300822725e-28
Spain,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393,1.4676354778102263e-40
Spain,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867,1.1826300401992509e-55
Spain,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576,9.92647348086319e-69
Spain,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983,8.491892127215164e-77
Ukraine,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3143273881179533,1.0709600205138046e-09
Ukraine,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4132119339207988,2.8060907885829907e-16
Ukraine,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4941471059542076,1.4585836459643766e-23
Ukraine,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5682466685699735,3.581187213515376e-32
Ukraine,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.739999970421582,1.2388673027114457e-63
Ukraine,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8529368796569933,4.20296322432113e-103
Ukraine,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8997314794095633,5.816622534071774e-131
Ukraine,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.916077027343318,3.8826360540615336e-144
Ukraine,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103,7.989243875381861e-26
Ukraine,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388,5.691352212560618e-36
Ukraine,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812561,7.852401368021891e-47
Ukraine,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275,2.9269479839515174e-57
Ukraine,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177,2.2291605701335885e-11
Ukraine,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674877,9.793389367125748e-17
Ukraine,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4787518295585399,5.04485935248546e-22
Ukraine,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599,6.9513503300822725e-28
Ukraine,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393,1.4676354778102263e-40
Ukraine,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867,1.1826300401992509e-55
Ukraine,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576,9.92647348086319e-69
Ukraine,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983,8.491892127215164e-77
United States of America,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.1243201203707597,0.0182864446334472
United States of America,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.2453206389123038,2.4696366957923102e-06
United States of America,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3171290680671215,7.470555551136643e-10
United States of America,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3862728966122454,2.9490098223270794e-14
United States of America,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6718137413132889,1.3557346828195135e-48
United States of America,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8000042953009102,1.9842234109982094e-81
United States of America,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8739077204813822,3.373074468146976e-114
United States of America,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.9037556874152834,5.532478114054479e-134
United States of America,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103,7.989243875381861e-26
United States of America,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388,5.691352212560618e-36
United States of America,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812561,7.852401368021891e-47
United States of America,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275,2.9269479839515174e-57
United States of America,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177,2.2291605701335885e-11
United States of America,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674877,9.793389367125748e-17
United States of America,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4787518295585399,5.04485935248546e-22
United States of America,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599,6.9513503300822725e-28
United States of America,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393,1.4676354778102263e-40
United States of America,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867,1.1826300401992509e-55
United States of America,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576,9.92647348086319e-69
United States of America,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983,8.491892127215164e-77
Brazil,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.4940662162567409,1.4866960540383777e-23
Brazil,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6216088929805722,7.262108681677575e-40
Brazil,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7086609347418559,3.5143476529581454e-56
Brazil,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7579548265139172,2.079714192415638e-68
Brazil,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7561507394289194,6.553704229997417e-68
Brazil,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.874671800108529,1.2213358650464827e-114
Brazil,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9440312039444748,1.620943691365669e-174
Brazil,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9712554366417436,3.004293509120303e-225
Brazil,disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6406093641819525,5.607423894344098e-43
Brazil,disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7333093915754351,5.923514829312214e-62
Brazil,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446,1.2016383797970779e-90
Brazil,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115485,2.5171819642995984e-120
Brazil,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.4104350228826538,4.624431498583316e-16
Brazil,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826,1.4666757849552835e-25
Brazil,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947,2.3475284736253468e-35
