metric,low_multiplier,high_multiplier,difference_high_vs_low,ci_low,ci_high,n_pairs,n_clusters
total_company_asset_loss,0.75,1.5,1134.0184094787487,1103.5702041527063,1164.692634293116,540,18
total_company_payment_shortfall,0.75,1.5,779.4584051963262,758.7423461318284,800.0833990054074,540,18
total_bank_incoming_shortfall,0.75,1.5,780.525902837402,759.5468672486643,800.530840020145,540,18
mean_loss_to_capital_ratio,0.75,1.5,0.6023516342156697,0.5675203054675249,0.6403938100674323,540,18
shocked_vulnerable_50_banks,0.75,1.5,8.17962962962963,7.829583333333334,8.53148148148148,540,18
