country,baseline_temp_1991_2020,baseline_pr_1991_2020,recent_temp_2021_2024,recent_pr_2021_2024,temp_anomaly,precip_deviation,drought_proxy,excess_precip_proxy
Brazil,25.000999999999998,1784.7183333333335,25.28,1595.49,0.27900000000000347,-189.22833333333347,189.22833333333347,0.0
Germany,9.432666666666668,873.7806666666668,10.41,963.0625,0.9773333333333323,89.28183333333322,0.0,89.28183333333322
Italy,13.117666666666667,1010.33,14.157499999999999,999.13,1.0398333333333323,-11.200000000000045,11.200000000000045,0.0
Spain,14.200666666666667,647.4770000000001,15.0375,649.36,0.8368333333333329,1.8829999999999245,0.0,1.8829999999999245
Ukraine,9.238666666666665,638.315,10.425,657.3975,1.1863333333333355,19.082499999999982,0.0,19.082499999999982
United States of America,9.671666666666665,826.7386666666666,10.375,824.4575,0.7033333333333349,-2.2811666666666497,2.2811666666666497,0.0
