country,year,burned_area_km2,country_area_km2,burned_area_share,period
Germany,2018,43.71658454957108,356077.1254568263,0.00012277279674588823,baseline_2001_2020
Germany,2019,55.18030096875,356077.1254568263,0.00015496727260409348,baseline_2001_2020
Germany,2020,3.55567259375,356077.1254568263,9.985681021178427e-06,baseline_2001_2020
Germany,2021,15.755968734375,356077.1254568263,4.424875289071435e-05,recent_2021_2024
Germany,2022,30.422848136519608,356077.1254568263,8.543892870818044e-05,recent_2021_2024
Germany,2023,2.3608850441176474,356077.1254568263,6.630263151806702e-06,recent_2021_2024
Germany,2024,0.921413765625,356077.1254568263,2.587680307862741e-06,recent_2021_2024
Italy,2001,1403.187127243505,299884.6678684056,0.004679089255270786,baseline_2001_2020
Italy,2002,775.592265169853,299884.6678684056,0.002586301829576015,baseline_2001_2020
Italy,2003,1543.2347765911766,299884.6678684056,0.0051460942887162665,baseline_2001_2020
Italy,2004,1686.1154098609682,299884.6678684056,0.0056225462336769545,baseline_2001_2020
Italy,2005,566.1677017132354,299884.6678684056,0.0018879514772715197,baseline_2001_2020
Italy,2006,513.2357032352941,299884.6678684056,0.0017114436255891232,baseline_2001_2020
Italy,2007,2297.720106239645,299884.6678684056,0.007662012608286872,baseline_2001_2020
Italy,2008,1315.7609611510416,299884.6678684056,0.004387556624696864,baseline_2001_2020
Italy,2009,541.0118207045956,299884.6678684056,0.001804066291718524,baseline_2001_2020
Italy,2010,727.9310718433211,299884.6678684056,0.0024273700853647824,baseline_2001_2020
Italy,2011,876.8800705601716,299884.6678684056,0.002924057694556633,baseline_2001_2020
Italy,2012,1567.2594084483453,299884.6678684056,0.005226207193547104,baseline_2001_2020
Italy,2013,355.1216058765931,299884.6678684056,0.0011841939382923918,baseline_2001_2020
Italy,2014,1033.0217127086398,299884.6678684056,0.003444730002542001,baseline_2001_2020
Italy,2015,179.49916936427695,299884.6678684056,0.0005985606754762274,baseline_2001_2020
Italy,2016,555.1725420220588,299884.6678684056,0.0018512868496020538,baseline_2001_2020
Italy,2017,1228.1051068643997,299884.6678684056,0.004095258072357713,baseline_2001_2020
Italy,2018,174.085734625,299884.6678684056,0.0005805089531999406,baseline_2001_2020
Italy,2019,703.6757787675244,299884.6678684056,0.002346488014106507,baseline_2001_2020
Italy,2020,394.07345412273287,299884.6678684056,0.0013140833671952143,baseline_2001_2020
Italy,2021,2041.727069401532,299884.6678684056,0.00680837431241225,recent_2021_2024
Italy,2022,380.1338258841912,299884.6678684056,0.0012676000696741198,recent_2021_2024
Italy,2023,922.1024054686275,299884.6678684056,0.0030748567841863174,recent_2021_2024
Italy,2024,159.14409509019606,299884.6678684056,0.0005306843334852689,recent_2021_2024
Spain,2001,1118.7262270822305,498000.2108997944,0.002246437255640713,baseline_2001_2020
Spain,2002,1592.0826534044118,498000.2108997944,0.0031969517653974732,baseline_2001_2020
Spain,2003,2063.7344397351717,498000.2108997944,0.004144043304733515,baseline_2001_2020
Spain,2004,2014.4168674003677,498000.2108997944,0.004045012076924001,baseline_2001_2020
Spain,2005,1823.916947325123,498000.2108997944,0.0036624822789324564,baseline_2001_2020
Spain,2006,1401.888394980147,498000.2108997944,0.0028150357455616207,baseline_2001_2020
Spain,2007,608.3422578509192,498000.2108997944,0.001221570281570277,baseline_2001_2020
Spain,2008,323.9057710875,498000.2108997944,0.0006504129195091345,baseline_2001_2020
Spain,2009,890.8815335153799,498000.2108997944,0.0017889179844035037,baseline_2001_2020
Spain,2010,311.1495980681372,498000.2108997944,0.0006247981250970705,baseline_2001_2020
Spain,2011,884.0666453171569,498000.2108997944,0.0017752334757445418,baseline_2001_2020
Spain,2012,1927.4207170501838,498000.2108997944,0.0038703210859443024,baseline_2001_2020
Spain,2013,751.4405232184436,498000.2108997944,0.0015089160742738027,baseline_2001_2020
Spain,2014,324.7422171675245,498000.2108997944,0.0006520925294002893,baseline_2001_2020
Spain,2015,834.9787786269608,498000.2108997944,0.0016766635040541616,baseline_2001_2020
Spain,2016,724.1497242015931,498000.2108997944,0.0014541152962429238,baseline_2001_2020
Spain,2017,1390.1698078476716,498000.2108997944,0.002791504456064168,baseline_2001_2020
Spain,2018,122.41252742175246,498000.2108997944,0.00024580818389730323,baseline_2001_2020
Spain,2019,427.0781936520833,498000.2108997944,0.0008575863710588232,baseline_2001_2020
Spain,2020,541.8160456616422,498000.2108997944,0.0010879835666789792,baseline_2001_2020
Spain,2021,677.3187265365196,498000.2108997944,0.0013600771881456231,recent_2021_2024
Spain,2022,2853.8642464579048,498000.2108997944,0.005730648670412205,recent_2021_2024
Spain,2023,502.6258764515319,498000.2108997944,0.0010092884811100376,recent_2021_2024
Spain,2024,243.69879832040442,498000.2108997944,0.0004893548094690275,recent_2021_2024
Poland,2001,59.53371703743873,310717.61221860006,0.00019160071620129084,baseline_2001_2020
Poland,2002,187.5694120946691,310717.61221860006,0.0006036652082750554,baseline_2001_2020
Poland,2003,239.30256982113968,310717.61221860006,0.0007701609448928903,baseline_2001_2020
Poland,2004,74.609313921875,310717.61221860006,0.00024011935914783258,baseline_2001_2020
Poland,2005,129.5901177382353,310717.61221860006,0.0004170671781780571,baseline_2001_2020
Poland,2006,82.679942546875,310717.61221860006,0.0002660935180227471,baseline_2001_2020
Poland,2007,36.55058170477942,310717.61221860006,0.00011763279668570858,baseline_2001_2020
Poland,2008,147.4742701408701,310717.61221860006,0.00047462475360784213,baseline_2001_2020
Poland,2009,28.667350521507352,310717.61221860006,9.22617495571475e-05,baseline_2001_2020
Poland,2010,92.04455342873773,310717.61221860006,0.00029623217290940484,baseline_2001_2020
Poland,2011,45.91204244497549,310717.61221860006,0.00014776131329393346,baseline_2001_2020
Poland,2012,52.41843683970588,310717.61221860006,0.00016870120900268695,baseline_2001_2020
Poland,2013,35.524537367340685,310717.61221860006,0.0001143306203780557,baseline_2001_2020
Poland,2014,14.65798714252451,310717.61221860006,4.717462598229589e-05,baseline_2001_2020
Poland,2015,46.03766048094363,310717.61221860006,0.00014816559689752835,baseline_2001_2020
Poland,2016,12.109762109375,310717.61221860006,3.897352976842324e-05,baseline_2001_2020
Poland,2017,8.201161677512255,310717.61221860006,2.639426075320915e-05,baseline_2001_2020
Poland,2018,31.945619453002454,310717.61221860006,0.00010281238718623925,baseline_2001_2020
Poland,2019,9.28655467935049,310717.61221860006,2.988744221173112e-05,baseline_2001_2020
Poland,2020,44.05266321875,310717.61221860006,0.00014177716835619058,baseline_2001_2020
Poland,2021,1.95213309375,310717.61221860006,6.282659936175778e-06,recent_2021_2024
Poland,2022,36.03690771262255,310717.61221860006,0.00011597961073178369,recent_2021_2024
Poland,2023,22.618196859375,310717.61221860006,7.27934174631284e-05,recent_2021_2024
Poland,2024,2.1766767681372547,310717.61221860006,7.005321496246215e-06,recent_2021_2024
Ukraine,2001,34117.31218445473,595908.9587958751,0.05725255792997971,baseline_2001_2020
Ukraine,2002,21911.011290904848,595908.9587958751,0.03676905837290882,baseline_2001_2020
Ukraine,2003,4634.271238135907,595908.9587958751,0.007776810819391201,baseline_2001_2020
Ukraine,2004,11475.89660902941,595908.9587958751,0.019257801782705548,baseline_2001_2020
Ukraine,2005,30108.533817105515,595908.9587958751,0.050525392130275064,baseline_2001_2020
Ukraine,2006,17328.825768323102,595908.9587958751,0.029079653045221265,baseline_2001_2020
Ukraine,2007,24025.508785580572,595908.9587958751,0.040317414985886056,baseline_2001_2020
Ukraine,2008,45692.02427347224,595908.9587958751,0.07667618282799431,baseline_2001_2020
Ukraine,2009,24589.461074390194,595908.9587958751,0.04126378822039687,baseline_2001_2020
Ukraine,2010,13028.813765602268,595908.9587958751,0.02186376555225646,baseline_2001_2020
Ukraine,2011,12631.211547907109,595908.9587958751,0.021196545817049633,baseline_2001_2020
Ukraine,2012,6832.758447551655,595908.9587958751,0.011466111302233626,baseline_2001_2020
Ukraine,2013,7244.911757505025,595908.9587958751,0.012157749351754123,baseline_2001_2020
Ukraine,2014,28877.815466598036,595908.9587958751,0.048460112975898306,baseline_2001_2020
Ukraine,2015,26631.19769134392,595908.9587958751,0.04469004417244593,baseline_2001_2020
Ukraine,2016,15329.44859593891,595908.9587958751,0.025724480845051228,baseline_2001_2020
Ukraine,2017,24707.26388668873,595908.9587958751,0.04146147414298574,baseline_2001_2020
Ukraine,2018,11707.75139711097,595908.9587958751,0.019646879316545712,baseline_2001_2020
Ukraine,2019,21118.143855814276,595908.9587958751,0.03543854064299806,baseline_2001_2020
Ukraine,2020,12489.545280536213,595908.9587958751,0.02095881442321868,baseline_2001_2020
Ukraine,2021,6299.130274291483,595908.9587958751,0.010570625229430745,recent_2021_2024
Ukraine,2022,8654.443145447547,595908.9587958751,0.01452309621747451,recent_2021_2024
Ukraine,2023,6192.374480456373,595908.9587958751,0.010391477404483077,recent_2021_2024
Ukraine,2024,12610.959062357659,595908.9587958751,0.021162559945129916,recent_2021_2024
