country,baseline_2001_2020,recent_2021_2024,wildfire_anomaly,wildfire_excess
Brazil,0.02208585421654365,0.019402703541699123,-0.002683150674844526,0.0
Germany,6.291337530769322e-05,3.472640626464106e-05,-2.818696904305216e-05,0.0
Italy,0.0030739903540521747,0.0029203788749394893,-0.0001536114791126854,0.0
Poland,0.0002217718275654135,5.0515252406833525e-05,-0.00017125657515857997,0.0
Spain,0.002015794314056453,0.0021473422872842233,0.00013154797322777016,0.00013154797322777016
Ukraine,0.03309915893285982,0.014161939699129562,-0.01893721923373026,0.0
United States of America,0.004728563464859026,0.004788849749829545,6.028628497051908e-05,6.028628497051908e-05
