country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Brazil,transportation,disorderly_transition,0.0,0.2,0.0,0.0,0.2,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.39759550561797796,0.17108629213483162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17108629213483162,0.17108629213483162,0.0
Brazil,transportation,severe_disorderly_transition,0.0,0.2,0.0,0.0,0.2,0.7,0.0,1.5,0.0,0.0,0.0,0.0,1.0499999999999998,1.0499999999999998,0.6116853932584275,0.2524404494382025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2524404494382025,0.2524404494382025,0.0
Brazil,transportation,acute_physical_risk,0.0,0.2,0.0,0.0,0.2,0.7,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.09175280898876417,0.054866067415730385,0.0,0.0,1.0,0.054866067415730385,0.0,0.0,0.0,0.0,0.0,0.0,0.054866067415730385,0.0
Brazil,transportation,combined_transition_physical,0.0,0.2,0.0,0.0,0.2,0.7,1.0,1.0,0.0,0.2,0.0,0.0,0.7,0.8999999999999999,0.5199325842696635,0.21757438202247212,0.0,0.0,0.22222222222222227,0.04834986267166048,0.0,0.0,0.0,0.0,0.7777777777777778,0.16922451935081165,0.21757438202247212,0.0
Brazil,buildings_real_estate,orderly_transition,0.0,0.2,0.0,0.0,0.2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.12233707865168554,0.0664880898876405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0664880898876405,0.0664880898876405,0.0
Brazil,buildings_real_estate,disorderly_transition,0.0,0.2,0.0,0.0,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12459820224719115,0.12459820224719115,0.0
Brazil,buildings_real_estate,severe_disorderly_transition,0.0,0.2,0.0,0.0,0.2,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.75,0.75,0.42817977528089934,0.18270831460674175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18270831460674175,0.18270831460674175,0.0
Brazil,buildings_real_estate,acute_physical_risk,0.0,0.2,0.0,0.0,0.2,0.5,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.09175280898876417,0.054866067415730385,0.0,0.0,1.0,0.054866067415730385,0.0,0.0,0.0,0.0,0.0,0.0,0.054866067415730385,0.0
Brazil,buildings_real_estate,combined_transition_physical,0.0,0.2,0.0,0.0,0.2,0.5,1.0,1.0,0.0,0.2,0.0,0.0,0.5,0.7,0.39759550561797796,0.17108629213483162,0.0,0.0,0.28571428571428575,0.04888179775280904,0.0,0.0,0.0,0.0,0.7142857142857143,0.12220449438202259,0.17108629213483162,0.0
Brazil,agriculture,orderly_transition,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.15,0.06116853932584276,0.04324404494382025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04324404494382025,0.04324404494382025,0.0
