interbank_liability_scale,density_label,metric,n_paired_runs,n_seed_clusters,n_common_support_configurations,mean_scale0,mean_current_scale,mean_difference_vs_scale0,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,estimand,inference_status,ci_available,median_difference_vs_scale0,p05_difference_vs_scale0,p95_difference_vs_scale0,share_positive_difference,share_negative_difference,share_numerically_zero_difference
0.5,p30,firm_to_bank_incoming_shortfall,2400,20,20,561.0024819176476,561.0024819176476,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p30,bank_to_bank_incoming_shortfall,2400,20,20,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p30,bank_to_bank_shortfall_share,2400,20,20,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,total_bank_incoming_shortfall,2400,20,20,561.0024819176476,561.0024819176476,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,total_bank_payment_shortfall,2400,20,20,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,mean_loss_to_capital_ratio,2400,20,20,0.43352034228324055,0.43352034228324066,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,median_loss_to_capital_ratio,2400,20,20,0.3403512092018557,0.34035120920185574,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,max_loss_to_capital_ratio,2400,20,20,1.2960285482058882,1.2960285482058882,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,shocked_vulnerable_25_banks,2400,20,20,8.810416666666667,8.810416666666667,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,shocked_vulnerable_50_banks,2400,20,20,5.585833333333333,5.585833333333333,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,shocked_bank_capital_breaches,2400,20,20,2.555416666666667,2.555416666666667,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,firm_to_bank_incoming_shortfall,2400,20,20,561.0024819176476,561.0024819176476,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,bank_to_bank_incoming_shortfall,2400,20,20,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
0.5,p50,bank_to_bank_shortfall_share,2400,20,20,0.0,0.0,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p05,total_bank_incoming_shortfall,1080,9,9,557.8938684248668,559.2795743385299,1.3857059136631438,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,7.20226651300024,0.08703703703703704,0.0,0.912962962962963
1.0,p05,total_bank_payment_shortfall,1080,9,9,0.0,1.3857059136631453,1.3857059136631453,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,7.202266512999878,0.08703703703703704,0.0,0.912962962962963
1.0,p05,mean_loss_to_capital_ratio,1080,9,9,0.41713424433431395,0.4188231395265568,0.001688895192242823,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.008195189179773354,0.08703703703703704,0.0,0.912962962962963
1.0,p05,median_loss_to_capital_ratio,1080,9,9,0.33071083243700294,0.33355457811616923,0.002843745679166285,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,5.448221748095047e-06,0.05,0.0,0.95
1.0,p05,max_loss_to_capital_ratio,1080,9,9,1.2378323268724332,1.2378987513613906,6.642448895730089e-05,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.002777777777777778,0.0,0.9972222222222222
1.0,p05,shocked_vulnerable_25_banks,1080,9,9,8.571296296296298,8.577777777777778,0.006481481481481481,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.006481481481481481,0.0,0.9935185185185185
1.0,p05,shocked_vulnerable_50_banks,1080,9,9,5.412962962962962,5.428703703703704,0.01574074074074074,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.01574074074074074,0.0,0.9842592592592593
1.0,p05,shocked_bank_capital_breaches,1080,9,9,2.474074074074074,2.484259259259259,0.010185185185185184,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.010185185185185186,0.0,0.9898148148148148
1.0,p05,firm_to_bank_incoming_shortfall,1080,9,9,557.8938684248668,557.8938684248668,0.0,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p05,bank_to_bank_incoming_shortfall,1080,9,9,0.0,1.3857059136631453,1.3857059136631453,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,7.202266512999892,0.08703703703703704,0.0,0.912962962962963
1.0,p05,bank_to_bank_shortfall_share,1080,9,9,0.0,0.0008462981240537297,0.0008462981240537297,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0087827282550124,0.08703703703703704,0.0,0.912962962962963
1.0,p15,total_bank_incoming_shortfall,1920,16,16,560.3236290389593,561.4224977289692,1.0988686900098774,0.19971824578532063,2.238641942050865,mean_of_seed_level_means,main_inference,True,0.0,0.0,2.90774791160311,0.06927083333333334,0.0,0.9307291666666667
1.0,p15,total_bank_payment_shortfall,1920,16,16,0.0,1.0988686900098696,1.0988686900098696,0.1945263159719266,2.2540515909970478,mean_of_seed_level_means,main_inference,True,0.0,0.0,2.9077479116029394,0.06927083333333334,0.0,0.9307291666666667
1.0,p15,mean_loss_to_capital_ratio,1920,16,16,0.4332789906762865,0.43427558689692697,0.000996596220640425,0.0002543010327709981,0.0019155502427258804,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0025501914288361036,0.06927083333333334,0.0,0.9307291666666667
1.0,p15,median_loss_to_capital_ratio,1920,16,16,0.3428004812134261,0.34390861812357304,0.0011081369101469411,3.4019366459564693e-05,0.0029802619632392758,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0203125,0.0,0.9796875
1.0,p15,max_loss_to_capital_ratio,1920,16,16,1.3014208983038391,1.3014208983038391,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p15,shocked_vulnerable_25_banks,1920,16,16,8.864062500000001,8.8671875,0.003125,0.0,0.009375000000000001,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.003125,0.0,0.996875
1.0,p15,shocked_vulnerable_50_banks,1920,16,16,5.597395833333334,5.605208333333334,0.0078125,0.0,0.01875,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007291666666666667,0.0,0.9927083333333333
1.0,p15,shocked_bank_capital_breaches,1920,16,16,2.5546875,2.5635416666666666,0.008854166666666666,0.0005208333333333333,0.0203125,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.008854166666666666,0.0,0.9911458333333333
1.0,p15,firm_to_bank_incoming_shortfall,1920,16,16,560.3236290389593,560.3236290389593,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p15,bank_to_bank_incoming_shortfall,1920,16,16,0.0,1.098868690009871,1.098868690009871,0.1797171629805661,2.2245270121289367,mean_of_seed_level_means,main_inference,True,0.0,0.0,2.907747911602957,0.06927083333333334,0.0,0.9307291666666667
1.0,p15,bank_to_bank_shortfall_share,1920,16,16,0.0,0.0006591627946645092,0.0006591627946645092,7.84364691078602e-05,0.0013943058573311956,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0036211314414441535,0.06927083333333334,0.0,0.9307291666666667
1.0,p30,total_bank_incoming_shortfall,2160,18,18,556.5200509882242,556.9352019601824,0.4151509719581263,0.0,1.14822664555056,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
1.0,p30,total_bank_payment_shortfall,2160,18,18,0.0,0.41515097195811124,0.41515097195811124,0.0,1.0516868147654774,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
1.0,p30,mean_loss_to_capital_ratio,2160,18,18,0.4289090861749201,0.4293287014173023,0.0004196152423821618,0.0,0.001186778697892984,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
1.0,p30,median_loss_to_capital_ratio,2160,18,18,0.33848765621237337,0.33857097391306995,8.331770069646144e-05,0.0,0.0002499531020893843,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.005092592592592593,0.0,0.9949074074074075
1.0,p30,max_loss_to_capital_ratio,2160,18,18,1.2864902318795701,1.2876185896878278,0.0011283578082576682,0.0,0.0033850734247730047,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.00787037037037037,0.0,0.9921296296296296
1.0,p30,shocked_vulnerable_25_banks,2160,18,18,8.753240740740742,8.756944444444445,0.003703703703703704,0.0,0.010648148148148148,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.003703703703703704,0.0,0.9962962962962963
1.0,p30,shocked_vulnerable_50_banks,2160,18,18,5.535648148148147,5.541203703703704,0.005555555555555556,0.0,0.014814814814814815,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.005555555555555556,0.0,0.9944444444444445
1.0,p30,shocked_bank_capital_breaches,2160,18,18,2.52962962962963,2.5314814814814817,0.001851851851851852,0.0,0.004629629629629629,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.001851851851851852,0.0,0.9981481481481481
1.0,p30,firm_to_bank_incoming_shortfall,2160,18,18,556.5200509882243,556.5200509882243,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p30,bank_to_bank_incoming_shortfall,2160,18,18,0.0,0.41515097195811146,0.41515097195811146,0.0,1.1482266455505163,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
1.0,p30,bank_to_bank_shortfall_share,2160,18,18,0.0,0.00027207335353918063,0.00027207335353918063,0.0,0.0007759150093884673,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
