interbank_liability_scale,metric,n_paired_runs,n_seed_clusters,n_common_support_configurations,mean_scale0,mean_current_scale,mean_difference_vs_scale0,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,estimand,inference_status,ci_available,median_difference_vs_scale0,p05_difference_vs_scale0,p95_difference_vs_scale0,share_positive_difference,share_negative_difference,share_numerically_zero_difference
1.5,shocked_vulnerable_25_banks,4440,18,37,8.756944444444445,8.789197530864197,0.03225308641975308,0.009334490740740742,0.06103395061728394,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.028153153153153154,0.0,0.9718468468468469
1.5,shocked_vulnerable_50_banks,4440,18,37,5.5412037037037045,5.584336419753087,0.04313271604938271,0.016898148148148148,0.07445987654320989,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.037162162162162164,0.0,0.9628378378378378
1.5,shocked_bank_capital_breaches,4440,18,37,2.5342592592592594,2.573070987654321,0.03881172839506172,0.017590663580246912,0.06489197530864196,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.034684684684684684,0.0,0.9653153153153153
1.5,firm_to_bank_incoming_shortfall,4440,18,37,558.3103615199378,558.3103615199378,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.5,bank_to_bank_incoming_shortfall,4440,18,37,0.0,4.894829373546362,4.894829373546362,2.69454094324908,7.5035478669783116,mean_of_seed_level_means,main_inference,True,0.0,0.0,32.05743686277463,0.16306306306306306,0.0,0.8369369369369369
1.5,bank_to_bank_shortfall_share,4440,18,37,0.0,0.0036675748545722075,0.0036675748545722075,0.0016653284267588522,0.006117071017565989,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0285419914803296,0.16306306306306306,0.0,0.8369369369369369
2.0,total_bank_incoming_shortfall,1440,7,12,550.5670202709614,555.2255732223057,4.658552951344374,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,35.253134205774586,0.09861111111111111,0.0,0.9013888888888889
2.0,total_bank_payment_shortfall,1440,7,12,0.0,4.658552951344386,4.658552951344386,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,35.253134205774245,0.09861111111111111,0.0,0.9013888888888889
2.0,mean_loss_to_capital_ratio,1440,7,12,0.41899011735626995,0.42386219363976524,0.00487207628349523,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.03488260552572253,0.09861111111111111,0.0,0.9013888888888889
2.0,median_loss_to_capital_ratio,1440,7,12,0.32743873229713893,0.3299277632553825,0.0024890309582434977,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.014770886302714226,0.06527777777777778,0.0,0.9347222222222222
2.0,max_loss_to_capital_ratio,1440,7,12,1.2890711223532567,1.3080165807565933,0.0189454584033369,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.02847222222222222,0.0,0.9715277777777778
2.0,shocked_vulnerable_25_banks,1440,7,12,8.63452380952381,8.657738095238095,0.02321428571428571,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.025694444444444443,0.0,0.9743055555555555
2.0,shocked_vulnerable_50_banks,1440,7,12,5.425,5.45654761904762,0.03154761904761905,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.030555555555555555,0.0,0.9694444444444444
2.0,shocked_bank_capital_breaches,1440,7,12,2.4416666666666664,2.481547619047619,0.039880952380952385,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.0375,0.0,0.9625
2.0,firm_to_bank_incoming_shortfall,1440,7,12,550.5670202709615,550.5670202709615,0.0,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.0,0.0,1.0
2.0,bank_to_bank_incoming_shortfall,1440,7,12,0.0,4.658552951344389,4.658552951344389,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,35.2531342057743,0.09861111111111111,0.0,0.9013888888888889
2.0,bank_to_bank_shortfall_share,1440,7,12,0.0,0.003223889726885712,0.003223889726885712,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0339133130961058,0.09861111111111111,0.0,0.9013888888888889
3.0,total_bank_incoming_shortfall,240,2,2,506.9846622910717,515.4015134301609,8.41685113908947,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,61.59781594514311,0.15416666666666667,0.0,0.8458333333333333
3.0,total_bank_payment_shortfall,240,2,2,0.0,8.4168511390895,8.4168511390895,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,61.59781594514311,0.15416666666666667,0.0,0.8458333333333333
3.0,mean_loss_to_capital_ratio,240,2,2,0.3811303474604929,0.3901987524482131,0.00906840498772053,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.06691500823049701,0.15416666666666667,0.0,0.8458333333333333
3.0,median_loss_to_capital_ratio,240,2,2,0.31254900992305157,0.3199634238259623,0.0074144139029109725,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.026497370778938094,0.15,0.0,0.85
3.0,max_loss_to_capital_ratio,240,2,2,1.1296862521514641,1.139545815006084,0.009859562854621773,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.008199664404803218,0.0625,0.0,0.9375
3.0,shocked_vulnerable_25_banks,240,2,2,8.304166666666667,8.308333333333334,0.004166666666666667,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.004166666666666667,0.0,0.9958333333333333
3.0,shocked_vulnerable_50_banks,240,2,2,5.045833333333333,5.1,0.05416666666666667,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.04999999999998295,0.05,0.0,0.95
3.0,shocked_bank_capital_breaches,240,2,2,2.158333333333333,2.2583333333333333,0.1,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,1.0,0.0625,0.0,0.9375
3.0,firm_to_bank_incoming_shortfall,240,2,2,506.98466229107186,506.98466229107186,0.0,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.0,0.0,1.0
3.0,bank_to_bank_incoming_shortfall,240,2,2,0.0,8.416851139089513,8.416851139089513,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,61.59781594514323,0.15416666666666667,0.0,0.8458333333333333
3.0,bank_to_bank_shortfall_share,240,2,2,0.0,0.004373280824042648,0.004373280824042648,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0383548189709351,0.15416666666666667,0.0,0.8458333333333333
