interbank_liability_scale,candidate_configurations,retained_configurations,retention_rate,delta_total_bank_incoming_shortfall_mean,delta_total_bank_incoming_shortfall_ci_low,delta_total_bank_incoming_shortfall_ci_high,n_common_support_configurations,n_common_support_runs,n_seed_clusters,inference_status,estimand,delta_mean_loss_to_capital_ratio_mean,delta_mean_loss_to_capital_ratio_ci_low,delta_mean_loss_to_capital_ratio_ci_high,delta_shocked_vulnerable_50_banks_mean,delta_shocked_vulnerable_50_banks_ci_low,delta_shocked_vulnerable_50_banks_ci_high,delta_shocked_bank_capital_breaches_mean,delta_shocked_bank_capital_breaches_ci_low,delta_shocked_bank_capital_breaches_ci_high,level_firm_to_bank_incoming_shortfall_mean,level_firm_to_bank_incoming_shortfall_ci_low,level_firm_to_bank_incoming_shortfall_ci_high,level_firm_to_bank_incoming_shortfall_median,level_firm_to_bank_incoming_shortfall_p95,level_firm_to_bank_incoming_shortfall_nonzero_share,level_bank_to_bank_incoming_shortfall_mean,level_bank_to_bank_incoming_shortfall_ci_low,level_bank_to_bank_incoming_shortfall_ci_high,level_bank_to_bank_incoming_shortfall_median,level_bank_to_bank_incoming_shortfall_p95,level_bank_to_bank_incoming_shortfall_nonzero_share,level_bank_to_bank_shortfall_share_mean,level_bank_to_bank_shortfall_share_ci_low,level_bank_to_bank_shortfall_share_ci_high,level_bank_to_bank_shortfall_share_median,level_bank_to_bank_shortfall_share_p95,level_bank_to_bank_shortfall_share_nonzero_share,level_mean_loss_to_capital_ratio_mean,level_mean_loss_to_capital_ratio_ci_low,level_mean_loss_to_capital_ratio_ci_high,level_mean_loss_to_capital_ratio_median,level_mean_loss_to_capital_ratio_p95,level_mean_loss_to_capital_ratio_nonzero_share,mean_of_density_medians_bank_to_bank_shortfall
0.5,80,77,0.9625,0.0,0.0,0.0,77,9240,20,main_inference,mean_of_seed_level_means,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0024819176476,544.7125667541753,577.6142655546655,340.45995970112443,1708.4910387020311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43352034228324055,0.40876116869858214,0.4612690064394043,0.26226362104088136,1.3080877813921927,1.0,0.0
1.0,80,62,0.775,0.8015189054524179,0.3830533118954036,1.2796324288844594,62,7440,20,main_inference,mean_of_seed_level_means,0.0008367101491975641,0.00040481265866734224,0.0013573611533684124,0.007118055555555555,0.0013194444444444445,0.015105902777777755,0.005,0.0011805555555555556,0.010312499999999999,561.0024819176476,544.2942884472695,577.8376979729214,340.45995970112443,1696.8275520809018,1.0,0.801518905452413,0.36893811464619286,1.28568462789827,0.0,0.0,0.03924731182795699,0.0004706142359291323,0.00020614182997788632,0.0007951541077906956,0.0,0.0,0.03924731182795699,0.43435705243243816,0.4098820368506862,0.4618048766237186,0.2606656765876526,1.3047998846875832,1.0,0.0
1.5,80,37,0.4625,4.894829373546365,2.593469576969762,7.582415340576486,37,4440,18,main_inference,mean_of_seed_level_means,0.004702984999167355,0.0024402707488606974,0.007311486514288603,0.04313271604938271,0.016898148148148148,0.07445987654320989,0.03881172839506172,0.017590663580246912,0.06489197530864196,558.3103615199378,541.251448118169,576.3949379995644,340.45995970112443,1696.8275520809018,1.0,4.894829373546362,2.6412630977153975,7.685793990528096,0.0,32.05743686277463,0.16306306306306306,0.0036675748545722075,0.0016239261063128287,0.006186079170750912,0.0,0.0285419914803296,0.16306306306306306,0.4340865053858045,0.40878990214394934,0.46461382673052265,0.26052900917034577,1.3329303109692832,1.0,0.0
2.0,80,12,0.15,4.658552951344374,,,12,1440,7,exploratory_too_few_clusters,mean_of_seed_level_means,0.00487207628349523,,,0.03154761904761905,,,0.039880952380952385,,,550.5670202709615,,,323.28718070224807,1695.0673797168572,1.0,4.658552951344389,,,0.0,35.2531342057743,0.09861111111111111,0.003223889726885712,,,0.0,0.0339133130961058,0.09861111111111111,0.42386219363976524,,,0.2433356744036323,1.2662441725713127,1.0,0.0
3.0,80,2,0.025,8.41685113908947,,,2,240,2,exploratory_too_few_clusters,mean_of_seed_level_means,0.00906840498772053,,,0.05416666666666667,,,0.1,,,506.98466229107186,,,318.03100235644774,1544.4015759910144,1.0,8.416851139089513,,,0.0,61.59781594514323,0.15416666666666667,0.004373280824042648,,,0.0,0.0383548189709351,0.15416666666666667,0.3901987524482131,,,0.2278231255097809,1.315638435552024,1.0,0.0
