shock_multiplier,metric,estimate,ci_low,ci_high,n_rows,n_clusters
0.75,total_company_asset_loss,1134.0184094787487,1103.0898851918828,1164.6610506077318,540,18
0.75,total_company_payment_shortfall,188.66786547886846,178.860733216769,198.7875461842217,540,18
0.75,total_bank_incoming_shortfall,188.66786547886852,178.52016408028234,198.79177573447237,540,18
0.75,mean_loss_to_capital_ratio,0.14496636105350105,0.13448382231299955,0.156700016604928,540,18
0.75,shocked_vulnerable_50_banks,1.2999999999999998,1.1314814814814815,1.4833333333333334,540,18
1.0,total_company_asset_loss,1512.0245459716652,1472.1612953170734,1551.9833418704034,540,18
1.0,total_company_payment_shortfall,400.0129608497637,385.679404807755,415.32599704670156,540,18
1.0,total_bank_incoming_shortfall,400.118845239825,385.7486623292436,415.00294002323056,540,18
1.0,mean_loss_to_capital_ratio,0.30848289039634946,0.2891986539464253,0.33063333459668853,540,18
1.0,shocked_vulnerable_50_banks,4.311111111111112,3.972175925925927,4.646342592592592,540,18
1.25,total_company_asset_loss,1890.0306824645813,1838.3605148960203,1939.5979110797418,540,18
1.25,total_company_payment_shortfall,669.2731069490702,649.5267968653649,689.5462978091405,540,18
1.25,total_bank_incoming_shortfall,669.7603288057659,651.0305457543608,690.7652469321663,540,18
1.25,mean_loss_to_capital_ratio,0.516547558950188,0.48649816928592143,0.5516439332635198,540,18
1.25,shocked_vulnerable_50_banks,7.0740740740740735,6.738888888888889,7.448148148148148,540,18
1.5,total_company_asset_loss,2268.0368189574974,2206.695910631544,2328.0777313193767,540,18
1.5,total_company_payment_shortfall,968.1262706751947,942.5995605474698,994.837697334905,540,18
1.5,total_bank_incoming_shortfall,969.1937683162705,942.708198481846,996.7397100836156,540,18
1.5,mean_loss_to_capital_ratio,0.7473179952691709,0.7053333124335324,0.7956120116572203,540,18
1.5,shocked_vulnerable_50_banks,9.47962962962963,9.066666666666666,9.894444444444444,540,18
