metric,difference_1_50_vs_0_75,ci_low,ci_high,n_pairs,n_clusters
total_company_asset_loss,1134.0184094787487,1104.1209714878048,1163.9875064028029,540,18
total_company_payment_shortfall,779.4584051963262,758.1812866786443,799.5139810254504,540,18
total_bank_incoming_shortfall,780.525902837402,759.5550164731983,801.0803984607738,540,18
mean_loss_to_capital_ratio,0.6023516342156697,0.5668116334176044,0.6400805879138682,540,18
shocked_vulnerable_50_banks,8.17962962962963,7.807407407407409,8.522222222222222,540,18
